,1,2,3,4,5,6,7,8,9,normalized,total_demand,total_supply
"(('V_TR', 'night'), ('CV8', 'night'), ('CV3', 'morning'), ('CV12', 'morning'))",0.9228,0.6523,0.3378,0.7513,0.7662,0.2621,148221.8448,16371.2354,0.7781,8.92519792266309,25.625877380371094,42.18817138671875
"(('V_TR', 'night'), ('CV8', 'night'), ('CV12', 'night'), ('CV12', 'morning'))",0.9241,0.6474,0.3268,0.7522,0.7612,0.2621,149582.1462,16362.3604,0.7775,8.908871891633869,25.65672492980957,42.350120544433594
"(('V_TR', 'night'), ('CV8', 'morning'), ('CV3', 'night'), ('CV3', 'morning'))",0.9248,0.6474,0.3293,0.7575,0.7632,0.2628,149585.1977,16338.96,0.7846,8.863359711376672,25.836984634399414,42.32060241699219
"(('V_TR', 'night'), ('CV8', 'morning'), ('CV3', 'night'), ('CV12', 'night'))",0.9204,0.6671,0.3189,0.7649,0.697,0.2057,133781.7177,17016.1699,0.7757,8.864622615431774,26.089691162109375,42.27346420288086
"(('V_TR', 'night'), ('CV8', 'morning'), ('CV3', 'night'), ('CV12', 'morning'))",0.9129,0.5949,0.326,0.7441,0.6976,0.1634,154845.7293,15281.2793,0.7728,8.867971319814616,25.38258171081543,42.196678161621094
"(('V_TR', 'night'), ('CV8', 'morning'), ('CV3', 'morning'), ('CV12', 'night'))",0.9296,0.6242,0.3291,0.7725,0.751,0.2103,150926.1862,16951.2305,0.8024,8.718304421104438,26.348398208618164,42.36439514160156
"(('V_TR', 'night'), ('CV8', 'morning'), ('CV3', 'morning'), ('CV12', 'morning'))",0.9229,0.6523,0.3374,0.7518,0.7667,0.2628,148221.3744,16370.4561,0.7787,8.920577397464243,25.642826080322266,42.189292907714844
"(('V_TR', 'night'), ('CV8', 'morning'), ('CV12', 'night'), ('CV12', 'morning'))",0.9248,0.6474,0.3293,0.7575,0.7632,0.2628,149585.1977,16338.96,0.7846,8.863359711376672,25.836984634399414,42.32060241699219
"(('V_TR', 'night'), ('CV3', 'night'), ('CV3', 'morning'), ('CV12', 'night'))",0.9298,0.7024,0.3264,0.7697,0.7487,0.236,122901.1407,16974.6855,0.7974,8.74004941121284,26.253976821899414,42.40464782714844
"(('V_TR', 'night'), ('CV3', 'night'), ('CV3', 'morning'), ('CV12', 'morning'))",0.9299,0.6228,0.3412,0.7659,0.7748,0.1965,155249.7872,16523.4668,0.7963,8.743408498890563,26.125165939331055,42.35200119018555
"(('V_TR', 'night'), ('CV3', 'night'), ('CV12', 'night'), ('CV12', 'morning'))",0.9141,0.5882,0.3167,0.7412,0.7009,0.1578,163673.2828,15361.9043,0.7714,8.850741069198362,25.283248901367188,42.308692932128906
"(('V_TR', 'night'), ('CV3', 'morning'), ('CV12', 'night'), ('CV12', 'morning'))",0.9201,0.6319,0.3269,0.7526,0.7594,0.261,154090.1651,16378.2305,0.7813,8.892251004435463,25.67156982421875,42.34249496459961
"(('V_TR', 'morning'), ('CV8', 'night'), ('CV8', 'morning'), ('CV3', 'night'))",0.9249,0.758,0.3367,0.7399,0.7737,0.5157,104324.1074,16774.1445,0.7545,8.846909814205011,25.239299774169922,42.251041412353516
