,"('V_CO', 'day')","('V_CO', 'night')","('V_PE1', 'day')","('V_PE1', 'night')","('V_PE2', 'day')","('V_PE2', 'night')","('CV3', 'day')","('CV3', 'night')",1,2,3,4,5,6,7,8,9
187,1,0,1,1,1,0,1,1,0.5404,0.1511,0.4747,0.359,0.2955,0.0747,276200.034,118.6803,0.2878
188,1,0,1,1,1,1,0,0,0.535,0.0993,0.4684,0.3446,0.295,0.0726,295510.6237,154.1626,0.2674
189,1,0,1,1,1,1,0,1,0.5354,0.1314,0.4685,0.3348,0.2947,0.0747,282689.4557,154.0258,0.2597
190,1,0,1,1,1,1,1,0,0.5354,0.1293,0.472,0.3528,0.2933,0.0754,283352.1862,118.0779,0.2731
191,1,0,1,1,1,1,1,1,0.5389,0.0891,0.4704,0.3416,0.2973,0.0719,298051.9651,183.0112,0.2507
192,1,1,0,0,0,0,0,0,0.6383,0.3212,0.4855,0.4029,0.3708,0.1046,238201.6322,2837.7903,0.3195
193,1,1,0,0,0,0,0,1,0.6223,0.2962,0.4695,0.3967,0.3525,0.0785,253345.8577,424.5376,0.3082
194,1,1,0,0,0,0,1,0,0.6213,0.2349,0.4702,0.3931,0.3532,0.0771,267847.0256,469.9257,0.3119
195,1,1,0,0,0,0,1,1,0.6224,0.1138,0.4753,0.3978,0.3539,0.0729,288078.4718,362.3434,0.308
196,1,1,0,0,0,1,0,0,0.6244,0.2973,0.4761,0.4015,0.3565,0.0782,249645.7967,369.3708,0.3209
197,1,1,0,0,0,1,0,1,0.6232,0.2941,0.4722,0.3991,0.3527,0.0785,251495.2144,362.8927,0.3016
198,1,1,0,0,0,1,1,0,0.6228,0.2832,0.4719,0.3958,0.3528,0.0778,254085.79,414.8521,0.3064
199,1,1,0,0,0,1,1,1,0.6193,0.2409,0.4724,0.3897,0.3512,0.0771,268748.4954,349.6708,0.2998
200,1,1,0,0,1,0,0,0,0.6235,0.2931,0.473,0.3962,0.3551,0.0793,249054.287,439.271,0.314
201,1,1,0,0,1,0,0,1,0.6216,0.3107,0.4734,0.3963,0.3531,0.0807,243651.2572,344.274,0.3081
202,1,1,0,0,1,0,1,0,0.6218,0.2821,0.4707,0.396,0.3522,0.0789,253552.6762,457.7214,0.3104
203,1,1,0,0,1,0,1,1,0.626,0.2938,0.4756,0.4022,0.3555,0.0803,249040.2395,344.7239,0.3102
204,1,1,0,0,1,1,0,0,0.6224,0.3086,0.4709,0.3987,0.3508,0.0821,244206.955,320.6798,0.315
205,1,1,0,0,1,1,0,1,0.6178,0.2547,0.4683,0.3878,0.3494,0.0778,262394.4645,350.1342,0.2966
206,1,1,0,0,1,1,1,0,0.6226,0.3223,0.473,0.3977,0.3512,0.0828,239665.7415,356.0566,0.3095
207,1,1,0,0,1,1,1,1,0.6271,0.3089,0.4763,0.4007,0.3565,0.0796,245964.3613,344.4016,0.3107
208,1,1,0,1,0,0,0,0,0.6146,0.125,0.4661,0.3814,0.3477,0.0729,287738.956,356.9573,0.2762
209,1,1,0,1,0,0,0,1,0.6163,0.2659,0.4639,0.3866,0.3467,0.0778,258981.094,382.4234,0.2959
210,1,1,0,1,0,0,1,0,0.6231,0.3047,0.4757,0.3949,0.3547,0.0789,246438.9893,356.4147,0.3052
