,"('V_CO', 'day')","('V_CO', 'night')","('V_PE1', 'day')","('V_PE1', 'night')","('V_PE2', 'day')","('V_PE2', 'night')","('CV3', 'day')","('CV3', 'night')",1,2,3,4,5,6,7,8,9
122,0,1,1,1,1,0,1,0,0.8989,0.7189,0.333,0.6927,0.7305,0.4378,123425.7145,15487.0039,0.6909
123,0,1,1,1,1,0,1,1,0.8983,0.7136,0.3315,0.6932,0.7294,0.4333,124666.5331,15488.1914,0.6916
124,0,1,1,1,1,1,0,0,0.8998,0.7443,0.334,0.6939,0.7334,0.4801,113167.5953,15538.3115,0.6908
125,0,1,1,1,1,1,0,1,0.8985,0.6569,0.332,0.6932,0.7307,0.2909,142789.8007,15539.5752,0.6921
126,0,1,1,1,1,1,1,0,0.8999,0.7446,0.3337,0.695,0.7319,0.472,113973.7662,15486.9248,0.6933
127,0,1,1,1,1,1,1,1,0.9005,0.7728,0.3332,0.697,0.7335,0.509,103195.4507,15491.29,0.6945
128,1,0,0,0,0,0,0,0,0.9109,0.7098,0.3376,0.7067,0.755,0.3804,125872.7563,15483.3145,0.7236
129,1,0,0,0,0,0,0,1,0.9105,0.7193,0.3304,0.7076,0.7528,0.4015,122398.1581,15544.1006,0.7251
130,1,0,0,0,0,0,1,0,0.9109,0.7946,0.3279,0.7107,0.7543,0.5646,88600.6102,16529.6855,0.7195
131,1,0,0,0,0,0,1,1,0.9106,0.7968,0.322,0.7122,0.7524,0.566,88357.1301,16676.4316,0.7206
132,1,0,0,0,0,1,0,0,0.9115,0.7802,0.3316,0.7074,0.7554,0.5396,95151.4869,15560.9102,0.7234
133,1,0,0,0,0,1,0,1,0.909,0.7474,0.3295,0.7047,0.7513,0.5051,111171.4143,15544.0801,0.7218
134,1,0,0,0,0,1,1,0,0.9105,0.7964,0.3218,0.7102,0.7522,0.566,88370.4493,16659.1074,0.7178
135,1,0,0,0,0,1,1,1,0.9106,0.7964,0.3219,0.7122,0.7522,0.5653,88372.4543,16659.3242,0.7206
136,1,0,0,0,1,0,0,0,0.916,0.8137,0.3265,0.7281,0.7563,0.5685,82513.4252,15913.3711,0.7405
137,1,0,0,0,1,0,0,1,0.9147,0.8112,0.3203,0.7236,0.7527,0.5643,83345.9823,16007.6445,0.7327
138,1,0,0,0,1,0,1,0,0.9144,0.7584,0.3249,0.7236,0.7532,0.5083,106411.1528,15844.4209,0.7341
139,1,0,0,0,1,0,1,1,0.9146,0.7584,0.3197,0.7256,0.752,0.5083,106391.838,15973.6641,0.7356
140,1,0,0,0,1,1,0,0,0.9155,0.8108,0.3208,0.7248,0.7543,0.5643,83443.0061,16007.498,0.7348
141,1,0,0,0,1,1,0,1,0.9146,0.8059,0.3206,0.7239,0.7528,0.5579,85724.2927,16007.6465,0.7337
142,1,0,0,0,1,1,1,0,0.9152,0.7584,0.3202,0.7259,0.7529,0.5083,106407.1081,15973.5332,0.736
143,1,0,0,0,1,1,1,1,0.9145,0.7584,0.3196,0.7255,0.7518,0.5083,106415.739,15973.6982,0.7354
144,1,0,0,1,0,0,0,0,0.9089,0.739,0.3313,0.7073,0.754,0.4935,115779.8026,15595.2031,0.7257
145,1,0,0,1,0,0,0,1,0.9095,0.7048,0.3311,0.7095,0.7536,0.2924,124329.8434,15613.6758,0.7293
146,1,0,0,1,0,0,1,0,0.9093,0.7883,0.3226,0.7125,0.7528,0.5625,91431.6681,16676.2012,0.7205
147,1,0,0,1,0,0,1,1,0.9086,0.7883,0.3221,0.7109,0.7519,0.5625,91602.1184,16659.1113,0.7184
148,1,0,0,1,0,1,0,0,0.9093,0.7432,0.3314,0.7082,0.7544,0.4984,112883.5985,15612.3945,0.7264
149,1,0,0,1,0,1,0,1,0.9079,0.7608,0.3303,0.7044,0.7523,0.5343,102691.3489,15601.8271,0.7208
150,1,0,0,1,0,1,1,0,0.9087,0.788,0.3221,0.7109,0.7521,0.5625,91615.9934,16641.793,0.7183
151,1,0,0,1,0,1,1,1,0.9093,0.7883,0.3229,0.7134,0.753,0.5625,91546.0667,16676.3184,0.7219
152,1,0,0,1,1,0,0,0,0.9136,0.8045,0.321,0.7248,0.7538,0.5632,85920.182,16025.3066,0.7343
153,1,0,0,1,1,0,0,1,0.9133,0.8042,0.321,0.7246,0.7533,0.5632,85989.2824,16008.3066,0.7339
154,1,0,0,1,1,0,1,0,0.9133,0.7559,0.3203,0.7259,0.7524,0.5083,107481.4698,15973.4502,0.7355
