,"('CV1', 'day')","('CV1', 'night')","('CV6', 'day')","('CV6', 'night')","('CV12', 'day')","('CV12', 'night')","('V_TR', 'day')","('V_TR', 'night')",1,2,3,4,5,6,7,8,9
159,1,0,0,1,1,1,1,1,0.9436,0.8658,0.2517,0.7945,0.8208,0.6302,62503.9629,15969.6797,0.81
160,1,0,1,0,0,0,0,0,0.9556,0.7052,0.2807,0.8272,0.8467,0.2941,106073.3633,16182.623,0.8545
161,1,0,1,0,0,0,0,1,0.9561,0.708,0.283,0.8281,0.8495,0.2955,105136.7054,16065.5381,0.8526
162,1,0,1,0,0,0,1,0,0.9543,0.726,0.2859,0.8199,0.8518,0.3033,101678.2795,16094.4014,0.8449
163,1,0,1,0,0,0,1,1,0.9521,0.7267,0.2874,0.8166,0.849,0.3029,101623.2355,15971.9453,0.8407
164,1,0,1,0,0,1,0,0,0.9556,0.7024,0.2714,0.8243,0.8446,0.2938,105932.8355,16484.8242,0.8491
165,1,0,1,0,0,1,0,1,0.9504,0.6196,0.2605,0.8188,0.8316,0.2825,124211.9419,16457.3457,0.8451
166,1,0,1,0,0,1,1,0,0.9532,0.7242,0.276,0.8178,0.8468,0.3015,102116.2607,16449.7227,0.8414
167,1,0,1,0,0,1,1,1,0.9477,0.7221,0.2627,0.8076,0.8324,0.3012,102420.0693,16463.2383,0.828
168,1,0,1,0,1,0,0,0,0.9565,0.7651,0.2761,0.8278,0.8464,0.3315,91725.6806,16237.3896,0.8494
169,1,0,1,0,1,0,0,1,0.953,0.7658,0.2734,0.824,0.8408,0.3318,91321.8041,16196.1758,0.8444
170,1,0,1,0,1,0,1,0,0.9496,0.8112,0.269,0.8065,0.838,0.3878,81302.2276,16279.4082,0.826
171,1,0,1,0,1,0,1,1,0.9467,0.8123,0.2672,0.801,0.8325,0.3882,81210.9245,16228.7656,0.8191
172,1,0,1,0,1,1,0,0,0.9564,0.8507,0.268,0.8249,0.8456,0.6122,66758.4516,16536.4883,0.8444
173,1,0,1,0,1,1,0,1,0.9541,0.8549,0.2588,0.8246,0.8372,0.6213,65354.8501,16567.8633,0.8442
174,1,0,1,0,1,1,1,0,0.946,0.8531,0.2559,0.799,0.8302,0.6213,66121.7557,16605.3867,0.8142
175,1,0,1,0,1,1,1,1,0.942,0.8524,0.248,0.7927,0.8183,0.621,67759.6451,16607.123,0.8068
176,1,0,1,1,0,0,0,0,0.9568,0.7055,0.2813,0.8293,0.8487,0.2948,105927.2053,16664.7949,0.8573
177,1,0,1,1,0,0,0,1,0.9547,0.7073,0.2767,0.8264,0.8445,0.2948,105415.8602,16690.9238,0.8535
